date,ECT@KAU.Q,KPPRVRSD_R@KAU.Q,PMKRSGF@KAU.Q,PMKRCON@KAU.Q,KRSGF@KAU.Q,KRCON@KAU.Q,PICTSGF@HON.Q
1992-04-01,1.6937607046733547,28.71343719571568,,,77.80300856067745,25.66757206410063,102.7
1992-07-01,1.6704673354538784,24.577982541222116,,,61.90203469549933,20.886304813654803,103.1
1992-10-01,1.7220455101541476,7.572023233301066,,,49.413240683495154,16.610029656080723,103.3
1993-01-01,2.922554938420671,19.857948243992606,,,43.42280467487243,14.397362802706013,108.2
1993-04-01,2.8707075585607336,12.72201914708442,,,45.15979509878908,15.09994083488055,114.9
1993-07-01,2.799758512436609,9.198841354723706,,,51.049009468968805,19.960589675732155,112.2
1993-10-01,2.6987925621830473,11.347468354430381,,,53.368390757369696,27.542106686681276,110.6
1994-01-01,1.926043916486681,24.440540540540542,252272.259235602,139439.1268777893,52.66995273862509,35.41609891352829,118.4
1994-04-01,1.9158747300215981,37.922606596942884,246989.02941698514,144066.7907301093,52.33647917260189,40.13888917554789,124.3
1994-07-01,1.8792656587473002,11.210115131578947,246778.2897831188,137954.32439591497,49.60654956470412,36.113625681704214,121.6
1994-10-01,1.810115190784737,22.62761825726141,241460.42156429423,141039.75799618647,47.38701852406889,31.331386229219618,120.5
1995-01-01,1.6349014877362285,7.4976275510204085,244512.17989480583,141144.99073435963,40.7449128560557,26.023382697595245,117.6
1995-04-01,1.596702854845195,8.772623089983023,240078.7652738866,140097.27584411087,35.760990033206575,24.184483244804206,117.8
1995-07-01,1.5718737434660233,8.107523245984785,247126.32224878785,142164.12480408364,37.77101046446471,24.376826670719865,118.3
1995-10-01,1.5298552472858866,14.293515930687533,247032.73258251982,140093.6086174459,39.72308664627302,26.415307386880677,119.26666666666667
1996-01-01,1.28418945963976,11.329777471010491,217017.48771894252,144336.5578030362,44.76947420962069,30.39681009027366,120.73333333333333
1996-04-01,1.2641761174116082,12.654796517954297,215725.2635972746,150455.9062803438,45.537770801618514,37.09488036526615,122.53333333333335
1996-07-01,1.2408272181454305,12.455839133797369,219953.71605747778,146910.63668191776,46.641428914408046,30.733329226000674,129.3
1996-10-01,1.2174783188792533,7.9749241450244295,229303.53262630515,149046.89923470217,47.05132607435276,35.77498031845951,129.63333333333333
1997-01-01,1.0257409375368995,10.505074160811866,234808.39174881787,127777.33553004071,45.13553459658489,33.77752318314339,128.1
1997-04-01,0.9906128232376906,8.296258064516131,226631.09241029032,128957.3521196532,49.03390687881416,31.315994047682622,129.16666666666666
1997-07-01,0.9807769512339121,6.566943164362519,229347.74931093914,125637.20017692409,57.837236733148195,34.15850360842611,130.2
1997-10-01,0.9751564529460387,12.139629915188896,222712.76652995258,119878.11217338196,61.99332179145275,45.74797916074788,129.7
1998-01-01,0.9062568605927552,5.58768290796597,222992.0688008649,127887.26680135918,72.10504313041311,58.734305009844185,129.3
1998-04-01,0.8983534577387488,11.389241486068112,233448.32660411097,123164.1495990952,78.76894125774507,61.513902210908284,129.2
1998-07-01,0.8970362239297476,11.119992254066617,228040.51753868925,121313.51551646828,85.38620012817191,74.24510992231255,129.1
