date,E_NF@KAU.M,ECT@KAU.M,EMN@KAU.M,E_TTU@KAU.M,E_TU@KAU.M,E_TRADE@KAU.M,EIF@KAU.M,E_FIR@KAU.M,EFI@KAU.M,ERE@KAU.M,E_PBS@KAU.M,EPS@KAU.M,EMA@KAU.M,EAD@KAU.M,E_EDHC@KAU.M,EED@KAU.M,EHC@KAU.M,E_LH@KAU.M,EAE@KAU.M,EAF@KAU.M,EOS@KAU.M,EGV@KAU.M,EGVFD@KAU.M,E_GVSL@KAU.M,EMPL@KAU.M,UR@KAU.M,ERT@KAU.M,EWT@KAU.M
2000-01-01,25.118015375550566,1.0236718224613317,0.3967545638945234,5.5297777442459575,1.3123449497932669,4.217432794452691,0.3991950301408687,1.2056611392380538,0.3851141078838174,0.8205470313542365,2.1339791002401634,0.45304420350291924,0.0959302325581397,1.5850046641791045,2.0697478609422997,0.17669396872673127,1.8930538922155684,7.615865937397229,0.8237105465742879,6.792155390822932,0.6788496541681835,4.064512522821957,0.42540365984930034,3.6391088629726562,28889.14481689352,5.679099298888923,3.8209217631545895,0.39651103129810156
2000-02-01,25.195155380725353,1.0323470073974446,0.39432048681541587,5.538253087866732,1.3266095688127588,4.211643519053973,0.3970812374478314,1.2033271143417883,0.3827800829875518,0.8205470313542365,2.1409085960575736,0.45537948290241886,0.0959302325581397,1.589598880597015,2.0816041483674494,0.17669396872673127,1.9049101796407182,7.647094238044688,0.8237105465742879,6.8233836914703945,0.6880232981434293,4.072196166243005,0.4268030139935415,3.645393152249464,28803.611790627318,5.239402690501893,3.815132487755871,0.39651103129810156
2000-03-01,25.290511420174756,1.045359784801614,0.3967545638945234,5.545470762309861,1.3313644418192552,4.214106320490607,0.3981625442268217,1.205330178625308,0.37811203319502074,0.827218145430287,2.1515699132737884,0.460050041701418,0.09273255813953504,1.5987873134328356,2.0934604357925988,0.17669396872673127,1.9167664670658677,7.678213692937504,0.8314087759815243,6.846804916955991,0.6910811794685112,4.085108364844229,0.43659849300322934,3.648509871840999,28853.11123820646,4.969794595826094,3.815132487755871,0.3989738327347357
2000-04-01,25.41340627551036,1.06271015467384,0.3967545638945234,5.541973558481006,1.336119314825753,4.205854243655253,0.426152573211539,1.205330178625308,0.37811203319502074,0.827218145430287,2.170225416536516,0.4647206005004172,0.09752906976744205,1.6079757462686566,2.0839925807357726,0.17513030528667167,1.9088622754491011,7.717466760256102,0.8160123171670516,6.901454443089049,0.6910811794685112,4.117719309627246,0.43939720129171156,3.678322108335534,28956.91572306107,4.643227774737879,3.809343212357151,0.39651103129810156
2000-05-01,25.425233426175833,1.0670477471418967,0.3967545638945234,5.535790286430096,1.3266095688127582,4.209180717617338,0.41554169725004664,1.2073332429088273,0.3734439834024896,0.8338892595063377,2.1784751119721433,0.4623853211009176,0.09433139534883739,1.6217583955223882,2.0784768214873304,0.1735666418466121,1.9049101796407182,7.725164989663338,0.8237105465742879,6.901454443089049,0.6941390607935931,4.126509904634037,0.45758880516684614,3.668921099467191,28927.777797983723,4.743121109616444,3.815132487755871,0.39404822986146737
2000-06-01,25.55946459734651,1.071385339609953,0.3991886409736308,5.571313932126793,1.3456290608387478,4.225684871288045,0.4259289742637781,1.2073332429088273,0.3734439834024896,0.8338892595063377,2.1838057705802507,0.4647206005004172,0.09273255813953511,1.6263526119402985,2.1179977795711626,0.1735666418466121,1.9444311377245505,7.7640915197180345,0.8314087759815243,6.93268274373651,0.6941390607935931,4.1242803368004886,0.4435952637244349,3.680685073076054,28692.104370996607,4.724887211056805,3.8267110385533085,0.3989738327347357
2000-07-01,25.631167179725185,1.0930733019502354,0.3991886409736308,5.585355284360865,1.3456290608387484,4.2397262235221165,0.4061818997215516,1.2096672678050928,0.3757780082987552,0.8338892595063377,2.206650899840895,0.4693911592994164,0.08793604651162806,1.6493236940298506,2.0990620694575104,0.17043931496649298,1.9286227544910173,7.795319820365504,0.8314087759815243,6.9639110443839725,0.7002548234437569,4.136413171806144,0.4407965554359527,3.6956166163701907,29166.24735554714,4.702773764928947,3.8382895893507465,0.4014366341713699
2000-08-01,25.669499818622683,1.097410894418292,0.40405679513184595,5.607477983563519,1.3503839338452457,4.257094049718273,0.4201876384572192,1.214004356984878,0.3734439834024896,0.8405603735823884,2.203655520632287,0.4693911592994164,0.08953488372093041,1.64472947761194,2.0966736370891867,0.17200297840655254,1.9246706586826343,7.8109339706892245,0.8314087759815243,6.979525194707704,0.7063705860939208,4.108728435562311,0.4296017222820237,3.6791267132802874,28969.076940545026,4.699174398816663,3.855657415546904,0.4014366341713699
2000-09-01,25.85169692841051,1.1017484868863483,0.40405679513184595,5.627308611196311,1.350383933845245,4.276924677351066,0.4492738272339184,1.2160074212683976,0.3687759336099585,0.8472314876584391,2.230560719330641,0.47172643869891595,0.09113372093023273,1.6677005597014922,2.1140456837627792,0.1735666418466121,1.9404790419161673,7.8575587301511565,0.8468052347959969,7.010753495355164,0.7033127047688389,4.14782394868028,0.42400430570505926,3.7238196429752204,28618.28463018576,4.630734904650923,3.8730252417430617,0.403899435608004
2000-10-01,25.846854080740247,1.1017484868863483,0.40649087221095337,5.626274208804089,1.3551388068517434,4.271135401952346,0.43928445137652616,1.2160074212683976,0.3687759336099585,0.8472314876584391,2.2551306386294954,0.47172643869891595,0.092732558139535,1.6906716417910446,2.1116572513944556,0.17513030528667167,1.9365269461077839,7.8575587301511565,0.8468052347959969,7.010753495355164,0.7124863487440846,4.120215671274739,0.42540365984930034,3.694812011425438,28593.46526695404,4.726043323963058,3.867235966344342,0.403899435608004
